"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2340","has title","webkit","Thu Nov 28 14:42:31 IST 2024","passed","Thu Nov 28 14:42:34 IST 2024","","example.spec.js","",""
"","5133","get started link","firefox","Thu Nov 28 14:42:20 IST 2024","passed","Thu Nov 28 14:42:25 IST 2024","","example.spec.js","",""
"","4473","has title","chromium","Thu Nov 28 14:42:12 IST 2024","passed","Thu Nov 28 14:42:16 IST 2024","","example.spec.js","",""
"","2571","get started link","webkit","Thu Nov 28 14:42:34 IST 2024","passed","Thu Nov 28 14:42:36 IST 2024","","example.spec.js","",""
"","4933","get started link","chromium","Thu Nov 28 14:42:12 IST 2024","passed","Thu Nov 28 14:42:17 IST 2024","","example.spec.js","",""
"","6874","has title","firefox","Thu Nov 28 14:42:21 IST 2024","passed","Thu Nov 28 14:42:27 IST 2024","","example.spec.js","",""
